ShowName,OneTimeAmount,MonthlyAmount,Gift,Notes,,,,,,,,,,,,,,,,,,,,,
New Divas - Live in Vienna,$216 ,$18 ,The New Divas - Best of Live in Vienna (CD) + Wine Glasses + PBS Retro Speaker,,,,,,,,,,,,,,,,,,,,,,
Alan Jackson's Precious Memories,$120 ,$10 ,2-CD Set,,,,,,,,,,,,,,,,,,,,,,
Doo Wop Project,$192 ,$16 ,Combo-DVD & 3 CDs,,,,,,,,,,,,,,,,,,,,,,
Aging Backwards 3,$240 ,$20 ,Aging Backwards 3: (DVD) + 4-DVD Workouts Set + Calendar + TV Subscription + HBK,,,,,,,,,,,,,,,,,,,,,,
Great American Recipes,$360 ,$30 ,Great American Recipes cookbook and Finding Your Roots companion book (HBK),,,,,,,,,,,,,,,,,,,,,,
Easy Yoga,$144 ,$12 ,Easy Yoga for Everything 10 DVD combo,,,,,,,,,,,,,,,,,,,,,,
Celtic (KEL-tik) Thunder,"$1,000 ",N/A,Pair of Celtic Thunder Concert Tickets,Ask which are available and choose any.,,,,,,,,,,,,,,,,,,,,,
Trinity Clasically Irish,$240 ,$20 ,DVD and CD only,Request the DVD and CD only (not the combo).,,,,,,,,,,,,,,,,,,,,,
